"1","1","1","115","150",,
"2","1","2","160","180",,
"3","1","3","160","170",,
"4","1","4","130","120",,
"491","605","18","560","420",,
"490","605","16","160","150",,
"7","0","5",,,,
"8","1","5","150","180",,
"9","1","6","278","220",,
"10","1","7","115","120",,
"355","2","1","120","120",,
"12","1","8","58","50",,
"356","2","13","560","420",,
"14","1","10","214","150",,
"15","1","11","242","200",,
"16","1","12","195","150",,
"18","2","3","164","160",,
"19","2","4","140","120",,
"20","2","5","160","180",,
"21","2","6","276","240",,
"22","2","7","120","120",,
"23","2","8","47","47",,
"24","2","9","130","120",,
"25","2","10","214","150",,
"26","2","11","240","180",,
"27","2","12","192","150",,
"29","3","14","320","260",,
"31","3","17","460","380",,
"32","200","15",,,,
"33","200","16",,,,
"34","200","18",,,,
"35","201","16",,,,
"36","201","18",,,,
"619","616","82","100","150",,
"611","2","53","400","360",,
"39","7","3","150","120",,
"14185","1474","423",,,,
"734","625","18","220","270",,
"14486","1695","192","210","150",,
"614","2","14","560","420",,
"584","7","89","275","250",,
"615","616","83","100","150",,
"49","7","14","275","250",,
"14471","902","15","540","360",,
"14191","1693","18","550","480",,
"14190","1011","874",,,,
"493","605","60","322","260",,
"494","605","53","160","140",,
"492","605","17","290","230",,
"484","10","16","225","220",,
"483","10","14","55","60",,
"485","10","68","225","220",,
"486","10","79","111","100",,
"61","10","17","280","240",,
"62","10","18","560","450",,
"63","2","15","410","360",,
"64","2","18","19","30",,
"65","2","19","83","80",,
"66","2","20","86","90",,
"67","2","21","190","150",,
"68","2","22","299","230",,
"69","1","14","560","420",,
"70","1","15","410","360",,
"72","1","19","86","80",,
"362","6","5","170","170",,
"361","6","4","145","140",,
"360","6","3","175","170",,
"359","6","2","175","180",,
"358","6","1","125","120",,
"13393","1675","82","60","60",,
"357","2","73","415","380",,
"79","6","9","116","80",,
"80","6","11","227","165",,
"81","6","15","390","330",,
"83","6","19","80","80",,
"8737","6","319","280","230",,
"8738","6","317","380","340",,
"84","6","20","64","60",,
"549","5","39","27","30",,
"548","5","83","225","180",,
"89","5","18","210","160",,
"90","1","23","70","70",,
"91","1","24","110","90",,
"92","1","25","86","70",,
"93","1","26","144","120",,
"94","1","27","152","120",,
"95","1","28","166","130",,
"96","1","29","185","120",,
"97","1","30","207","150",,
"98","1","31","225","180",,
"99","1","32","260","220",,
"100","1","33","240","200",,
"101","1","34","300","240",,
"102","1","35","195","150",,
"103","1","36","150","130",,
"104","2","23","70","70",,
"105","2","24","120","120",,
"106","2","25","90","90",,
"107","2","26","143","120",,
"108","2","27","150","120",,
"109","2","28","165","150",,
"110","2","29","190","120",,
"111","2","30","202","150",,
"112","2","31","225","180",,
"113","2","32","260","220",,
"114","2","33","234","180",,
"115","2","34","300","240",,
"116","2","35","196","180",,
"117","2","36","151","130",,
"612","2","54","400","360",,
"2242","850","17","310","240",,
"2243","850","80","310","240",,
"610","2","100","310","310",,
"580","7","60","180","170",,
"733","625","83","245","300",,
"609","2","99","195","190",,
"568","607","83","290","220",,
"608","2","98","300","300",,
"581","7","84","180","170",,
"579","7","18","276","220",,
"576","607","3","150","120",,
"577","607","39","500","360",,
"578","7","83","300","240",,
"138","6","23","60","70",,
"8728","6","310","280","240",,
"8729","6","309","320","280",,
"139","6","24","110","90",,
"140","6","25","65","75",,
"141","6","26","125","110",,
"142","6","27","132","90",,
"143","6","28","152","90",,
"144","6","29","162","90",,
"145","6","30","190","150",,
"146","6","31","225","160",,
"147","6","32","239","190",,
"148","6","33","220","180",,
"149","6","34","300","240",,
"150","6","35","185","180",,
"151","6","36","145","130",,
"152","2","37","247","180",,
"153","2","38","244","180",,
"154","2","39","250","180",,
"155","2","40","252","180",,
"156","2","41","260","190",,
"157","2","42","254","180",,
"158","2","43","270","210",,
"159","2","44","276","220",,
"160","2","45","278","220",,
"161","2","46","280","220",,
"162","2","47","300","220",,
"163","2","48","280","220",,
"164","2","49","281","220",,
"165","2","50","282","220",,
"384","2","51","300","240",,
"167","2","52","300","240",,
"168","1","37","250","200",,
"169","1","38","250","200",,
"170","1","39","244","180",,
"171","1","40","250","200",,
"172","1","41","250","200",,
"173","1","42","250","200",,
"174","1","43","270","240",,
"175","1","44","280","210",,
"13405","849","14","100","100",,
"13406","849","89","100","100",,
"176","1","45","280","210",,
"177","1","46","280","210",,
"178","1","47","280","210",,
"179","1","48","280","210",,
"8699","1","309","360","320",,
"8700","1","320","385","330",,
"8701","1","311","300","260",,
"180","1","49","280","210",,
"181","1","50","280","210",,
"182","1","51","290","240",,
"8704","1","314","370","320",,
"8705","1","315","390","350",,
"8706","1","316","390","350",,
"183","1","52","300","240",,
"574","607","14","275","240",,
"186","7","39","500","330",,
"583","7","59","8","10",,
"582","7","82","300","240",,
"607","2","96","220","200",,
"569","607","18","275","200",,
"570","607","60","180","170",,
"571","607","84","180","170",,
"572","607","82","290","220",,
"573","607","87","10","20",,
"200","6","37","225","180",,
"201","6","38","235","180",,
"202","6","39","225","180",,
"203","6","40","235","180",,
"204","6","41","239","180",,
"205","6","42","235","180",,
"206","6","43","250","180",,
"207","6","44","265","210",,
"208","6","45","265","210",,
"209","6","46","265","210",,
"210","6","47","261","200",,
"211","6","48","265","210",,
"212","6","49","265","210",,
"213","6","50","265","210",,
"214","6","51","270","200",,
"215","6","52","275","240",,
"216","11","14","12","25",,
"217","11","16","165","170",,
"218","11","17","290","240",,
"219","11","18","560","420",,
"366","6","10","203","145",,
"365","6","8","62","60",,
"364","6","7","125","120",,
"363","6","6","290","240",,
"517","604","58","135","120",,
"516","3","79","375","300",,
"227","2","58","370","300",,
"228","2","59","289","220",,
"229","2","60","450","360",,
"230","2","62","345","300",,
"8709","1","321","385","330",,
"231","1","58","365","300",,
"8707","1","319","295","250",,
"8708","1","317","400","360",,
"232","1","59","290","220",,
"233","1","60","450","360",,
"234","1","62","345","300",,
"235","3","18","450","360",,
"512","3","83","450","360",,
"511","3","80","460","380",,
"514","3","62","120","120",,
"239","3","58","135","120",,
"513","3","82","450","360",,
"242","3","61","160","160",,
"562","4","82","410","360",,
"560","4","83","410","360",,
"15196","609","85","8","20","Iasi Airport",
"250","4","18","390","360",,
"566","606","38","30","45",,
"565","606","39","27","30",,
"564","606","18","210","160",,
"1976","848","80",,,,
"561","4","90","8","20",,
"1975","848","17",,,,
"559","609","82","410","360",,
"556","609","83","410","360",,
"557","609","18","390","360",,
"563","606","83","225","180",,
"382","6","78","180","210",,
"381","6","77","380","336",,
"380","6","76","270","230",,
"8726","6","307","295","240",,
"8727","6","308","310","280",,
"379","6","75","290","270",,
"8739","6","321","370","320",,
"8740","6","318","360","320",,
"378","6","74","75","120",,
"377","6","73","400","360",,
"376","6","71","152","120",,
"375","6","70","131","90",,
"1954","9","17","700","650",,
"374","6","69","119","85",,
"1951","6","136","1100","900",,
"373","6","62","345","300",,
"372","6","60","450","360",,
"371","6","59","275","210",,
"370","6","58","358","300",,
"369","6","22","285","220",,
"8735","6","315","385","330",,
"8736","6","316","370","320",,
"368","6","21","195","150",,
"1944","6","17","820","750",,
"367","6","12","177","125",,
"515","3","88","120","120",,
"300","2","69","134","120",,
"301","2","70","145","140","

",
"302","2","71","166","150",,
"303","1","69","135","100",,
"304","1","70","143","120",,
"613","2","90","410","360",,
"575","607","89","275","240",,
"13802","657","76","200","180",,
"13803","654","76","200","180",,
"13804","655","76","160","160",,
"13698","1634","135","130","100",,
"13699","1637","136","250","150",,
"13700","1637","135","250","150",,
"593","608","84","120","120",,
"596","9","83","160","160",,
"602","2","92","300","300",,
"604","2","94","175","180",,
"603","2","93","245","300",,
"323","8","18","355","300",,
"606","2","97","203","200",,
"594","608","82","345","300",,
"592","608","60","120","120",,
"589","608","83","345","300",,
"585","8","83","345","300",,
"591","608","18","345","300",,
"13806","657","308","160","160",,
"15083","660","1122","210","200",,
"13808","657","311","160","160",,
"587","8","82","345","300",,
"586","8","84","100","90",,
"344","8","60","100","90",,
"598","9","82","155","160",,
"605","2","95","160","150",,
"13815","603","312","160","160",,
"13816","603","319","160","160",,
"601","2","91","300","300",,
"599","9","87","150","140",,
"1864","847","17","580","500",,
"385","2","74","100","150",,
"386","2","75","310","310",,
"387","2","76","300","280",,
"388","2","78","210","240",,
"389","2","2","168","150",,
"390","2","77","400","360",,
"396","9","18","170","170",,
"422","9","59","150","120",,
"13823","655","307","160","160",,
"13824","655","308","160","160",,
"13825","655","310","160","160",,
"13826","655","311","160","160",,
"13817","654","307","160","160",,
"13818","654","308","160","160",,
"13819","654","310","160","160",,
"432","623","17","210","120",,
"433","623","14","115","120",,
"434","622","13","290","210",,
"435","622","14","286","210",,
"436","624","13","280","280",,
"437","624","17","21","30",,
"438","624","14","300","210",,
"439","624","79","190","120",,
"440","622","79","200","150",,
"442","617","14","170","200",,
"884","617","89","175","210",,
"444","618","14","160","180",,
"885","618","89","160","180",,
"446","628","18","330","290",,
"9506","11","505","170","150",,
"449","620","14","170","200",,
"886","619","89","170","200",,
"452","619","14","170","200",,
"453","610","18","390","330",,
"455","611","18","400","360",,
"13503","624","421","580","400",,
"13504","1015","17","580","400",,
"13505","1015","80","580","400",,
"457","612","18","270","240",,
"13543","725","13","550","420",,
"459","613","18","400","300",,
"13501","1167","82","300","240",,
"13502","622","421","580","400",,
"461","614","18","180","210",,
"462","615","18","320","270",,
"13403","1164","60","150","140",,
"464","616","18","80","120",,
"14201","633","1087","450","420",,
"13404","1164","84","150","140",,
"14194","1693","74","450","420",,
"14204","622","1088","260","200",,
"467","616","15","320","220",,
"13749","716","127","420","250",,
"14199","6","1087","550","480",,
"14186","1474","416",,,,
"13747","715","128","450","250",,
"14197","2","1087","550","480",,
"14472","903","15","560","360",,
"14196","1693","78","400","350",,
"14484","1695","128","230","150",,
"487","11","68","160","140",,
"472","11","13","55","60",,
"473","11","60","322","250",,
"474","11","53","160","130",,
"475","11","55","220","200",,
"476","11","54","170","140",,
"1849","845","17","415","300",,
"477","11","57","60","60",,
"478","11","61","170","150",,
"479","11","56","100","90",,
"480","11","59","275","250",,
"481","11","79","111","100",,
"489","605","13","55","60",,
"495","605","55","225","200",,
"496","605","54","170","170",,
"497","605","57","60","60",,
"498","605","68","160","150",,
"499","605","61","170","160",,
"500","605","56","100","100",,
"501","605","59","275","240",,
"502","605","79","111","90",,
"503","605","80","290","240",,
"504","605","89","10","20",,
"505","11","81","170","180",,
"506","11","80","290","240",,
"507","605","81","170","180",,
"508","10","89","55","60",,
"509","10","81","220","250",,
"510","10","80","280","240",,
"519","604","66","160","150",,
"520","604","83","450","360",,
"521","604","65","120","120",,
"522","604","18","450","360",,
"523","604","17","460","360",,
"524","604","80","460","360",,
"526","604","61","160","160",,
"527","604","82","450","360",,
"528","604","79","375","300",,
"529","604","62","120","120",,
"1660","605","136","550","420",,
"15475","10","58","220","200",,
"531","604","14","320","260",,
"532","604","89","320","260",,
"533","3","66","160","150",,
"534","3","65","120","120",,
"535","3","89","320","260",,
"536","3","64","55","60",,
"537","604","64","55","60",,
"538","604","53","180","170",,
"539","604","54","180","180",,
"540","604","67","190","200",,
"541","604","59","180","170",,
"542","604","87","180","170",,
"543","3","53","180","170",,
"544","3","54","180","180",,
"545","3","67","190","200",,
"546","3","59","180","170",,
"547","3","87","180","170",,
"550","5","38","30","40",,
"551","5","82","225","180",,
"552","603","83","245","180",,
"553","603","18","225","180",,
"554","603","86","27","30",,
"555","603","82","250","200",,
"13451","605","254","100","100",,
"13452","605","262","55","60",,
"13453","605","263","90","70",,
"567","606","82","225","180",,
"13456","11","254","100","100",,
"13455","605","271","60","60",,
"13454","605","266","30","30",,
"14187","1474","417",,,,
"630","2","101","122","120",,
"13458","11","263","90","70",,
"13457","11","262","55","60",,
"13460","11","271","60","60",,
"13459","11","266","30","30",,
"632","2","102","160","180",,
"633","2","109","117","110",,
"634","2","104","168","180",,
"635","2","103","130","120",,
"636","2","84","450","360",,
"637","2","105","160","180",,
"638","2","106","134","130",,
"639","2","107","160","160",,
"640","2","87","295","220",,
"1571","10","136","550","420",,
"641","2","108","113","110",,
"13401","1098","135","550","420",,
"13400","1098","136","550","420",,
"642","2","89","560","420",,
"13402","10","135","550","420",,
"643","2","86","250","180",,
"644","2","85","415","360",,
"645","2","88","345","300",,
"646","1","13","560","420",,
"647","1","101","122","120",,
"648","1","102","160","180",,
"649","1","18","19","25",,
"650","1","77","410","360",,
"651","1","109","117","110",,
"652","1","104","168","180",,
"653","1","103","130","120",,
"654","1","84","450","360",,
"655","1","86","225","180",,
"656","1","71","166","130",,
"657","1","53","400","360",,
"658","1","91","300","300",,
"659","1","20","86","80",,
"660","1","54","400","360",,
"661","1","90","410","360",,
"662","1","85","410","360",,
"663","1","92","300","300",,
"664","1","105","160","180",,
"13757","6","18","15","30",,
"13758","715","789","100","70",,
"13759","1389","126","100","100",,
"666","1","106","135","130",,
"667","1","9","130","110",,
"668","1","93","245","300",,
"669","1","73","410","360",,
"670","1","107","160","160",,
"671","1","94","175","180",,
"672","1","21","195","150",,
"13763","1390","126","130","90",,
"673","1","95","160","150",,
"13762","715","790","130","90",,
"674","1","74","100","150",,
"675","1","97","210","200",,
"676","1","87","290","220",,
"677","1","96","220","200",,
"678","1","108","113","110",,
"679","1","98","300","300",,
"680","1","75","310","310",,
"681","1","99","195","190",,
"682","1","22","300","230",,
"683","1","88","345","300",,
"684","1","89","560","420",,
"685","1","76","300","280",,
"686","1","78","210","240",,
"8696","1","307","320","270",,
"8697","1","308","330","270",,
"8698","1","310","300","250",,
"687","1","100","310","310",,
"8702","1","312","345","320",,
"8703","1","313","380","330",,
"688","6","13","560","420",,
"689","6","101","134","125",,
"690","6","83","19","25",,
"691","6","102","175","180",,
"692","6","109","135","125",,
"693","6","104","185","180",,
"694","6","103","145","140",,
"695","6","84","450","360",,
"696","6","86","210","160",,
"697","6","53","400","360",,
"698","6","91","280","240",,
"699","6","54","400","360",,
"700","6","90","400","360",,
"701","6","85","410","360",,
"702","6","92","280","280",,
"703","6","105","175","170",,
"704","6","82","20","30",,
"705","6","106","150","150",,
"13184","2","1061","750","660",,
"13183","2","155","700","600",,
"706","6","93","220","270",,
"13188","2","1058","700","600",,
"13185","2","1060","750","660",,
"707","6","107","170","170",,
"13190","2","135","1100","900",,
"13189","2","136","1100","900",,
"708","6","94","145","140",,
"709","6","95","140","140",,
"13191","2","1062","90","90",,
"710","6","97","185","180",,
"711","6","87","275","220",,
"14720","1387","906","130","90",,
"13195","2","570","200","180",,
"712","6","96","200","180",,
"713","6","108","125","120",,
"714","6","98","290","290",,
"15137","1736","1132","15","25",,
"715","6","99","175","180",,
"8734","6","314","330","300",,
"13202","623","18","700","600",,
"716","6","88","345","300",,
"8732","6","312","330","300",,
"8733","6","313","370","320",,
"717","6","14","560","420",,
"8730","6","320","370","320",,
"8731","6","311","285","230",,
"718","6","89","560","420",,
"13204","1664","18","1200","900",,
"13203","623","82","700","600",,
"719","6","100","290","270",,
"13207","1665","82","750","660",,
"720","610","83","410","360",,
"14440","610","73","150","100",,
"722","610","82","410","360",,
"13213","745","82","700","600",,
"13212","745","18","700","600",,
"723","611","83","410","360",,
"13215","742","82","1200","900",,
"13214","742","18","1200","900",,
"15059","611","76","360","260",,
"725","612","83","300","280",,
"726","612","82","300","280",,
"13218","1667","82","90","90",,
"13217","1667","18","90","90",,
"13220","1668","82","250","200",,
"13219","1668","18","250","200",,
"729","614","83","210","240",,
"13221","873","18","25","30",,
"730","614","82","210","240",,
"13223","891","18","100","90",,
"13222","896","18","23","35",,
"731","615","83","320","270",,
"13227","901","18","15","30",,
"13226","892","18","95","90",,
"13225","888","18","190","170",,
"732","615","82","320","270",,
"13230","876","18","27","35",,
"13229","890","18","110","100",,
"13228","875","18","15","25",,
"735","625","82","245","300",,
"13232","1669","82","250","200",,
"13231","1669","18","250","200",,
"13238","895","83","85","90",,
"13237","886","18","15","30",,
"737","626","83","200","170",,
"13241","900","18","14","25",,
"13240","877","18","35","45",,
"738","626","18","200","170",,
"13243","885","83","13","17",,
"13242","899","18","18","30",,
"739","626","82","200","170",,
"13245","894","18","100","100",,
"13244","885","18","15","25",,
"740","627","83","290","260",,
"13247","879","18","15","25",,
"13246","878","18","35","45",,
"741","627","18","280","240",,
"742","627","82","300","300",,
"13251","880","18","35","45",,
"13250","887","18","190","170",,
"13253","893","18","95","100",,
"13252","893","83","85","90",,
"744","628","83","330","290",,
"13257","1171","82","200","180",,
"13254","881","18","15","25",,
"745","628","82","330","290",,
"13261","882","18","24","30",,
"13262","624","259","310","220",,
"747","629","83","300","300",,
"748","629","18","280","280",,
"749","629","82","310","300",,
"750","630","83","170","170",,
"751","630","18","145","140",,
"13093","624","1055","200","150",,
"752","630","82","180","180",,
"13095","1660","80","200","150",,
"13094","1660","17","200","150",,
"753","631","83","150","150",,
"754","631","18","140","140",,
"13096","847","80","580","500",,
"755","631","82","160","150",,
"13097","1224","17","550","500",,
"756","632","83","220","190",,
"13100","624","65","550","500",,
"13099","624","625","515","450",,
"13098","1224","80","550","500",,
"757","632","18","200","180",,
"13102","624","260","475","420",,
"13101","624","64","490","450",,
"758","632","82","220","190",,
"13106","1662","80","390","320",,
"13103","622","625","515","450",,
"759","633","83","200","170",,
"13136","6","155","700","600",,
"13108","624","1056","390","320",,
"13107","622","1056","380","300",,
"760","633","18","200","170",,
"13135","6","152","1200","900",,
"13134","2","1057","60","60",,
"761","633","82","200","170",,
"1298","726","226","300","200",,
"762","634","83","330","290",,
"763","634","18","330","290",,
"764","634","82","330","290",,
"771","624","89","300","225",,
"13118","1662","60","200","200",,
"13116","850","60","190","180",,
"774","622","80","20","30",,
"13120","869","60","200","180",,
"779","622","89","300","225",,
"13125","3","272","200","180",,
"13124","3","566","190","200",,
"13123","3","1056","200","200",,
"781","620","89","170","200",,
"13126","604","1056","200","200",,
"782","662","83","280","210",,
"783","662","18","260","200",,
"13542","1681","397","330","200",,
"784","662","82","280","210",,
"13541","1681","398","330","200",,
"785","667","83","290","250",,
"786","667","18","270","230",,
"13139","6","1060","750","660",,
"13138","6","1061","750","660",,
"787","667","82","290","250",,
"13140","6","1058","700","600",,
"788","666","83","300","240",,
"13143","6","135","1100","900",,
"13142","6","79","700","600",,
"789","666","18","276","240",,
"13145","6","278","17","25",,
"790","666","82","310","250",,
"13148","6","1063","250","200",,
"13147","6","507","285","240",,
"13146","6","1062","90","90",,
"791","665","83","280","210",,
"13150","6","298","23","35",,
"13149","6","279","24","30",,
"792","665","18","265","210",,
"793","665","82","290","210",,
"13154","6","302","95","90",,
"13153","6","305","190","170",,
"794","664","83","250","200",,
"13156","6","281","15","25",,
"13155","6","293","15","30",,
"795","664","18","235","180",,
"13159","6","565","227","165",,
"796","664","82","250","200",,
"13164","6","283","35","45",,
"13162","6","258","245","200",,
"797","635","83","122","120",,
"798","635","18","135","125",,
"13170","6","286","35","45",,
"13168","6","284","35","45",,
"799","635","82","122","120",,
"13171","6","287","15","25",,
"800","636","83","170","170",,
"13174","6","289","45","60",,
"13172","6","306","190","170",,
"801","636","18","175","180",,
"13176","6","290","40","50",,
"13175","6","301","95","100",,
"802","636","82","160","160",,
"803","637","83","123","120",,
"804","637","18","135","130",,
"805","637","82","117","110",,
"806","638","83","170","170",,
"807","638","18","180","180",,
"808","638","82","165","170",,
"809","639","83","140","130",,
"810","639","18","145","140",,
"811","639","82","130","120",,
"812","640","83","170","160",,
"813","640","18","180","170",,
"814","640","82","165","150",,
"815","641","83","140","130",,
"816","641","18","150","145",,
"13399","622","1055","200","150",,
"817","641","82","135","130",,
"818","642","83","170","160",,
"819","642","18","180","180",,
"820","642","82","160","160",,
"821","643","83","135","125",,
"822","643","18","145","140",,
"823","643","82","135","125",,
"824","644","83","123","120",,
"825","644","18","130","120",,
"826","644","82","115","115",,
"827","645","83","170","180",,
"828","645","18","175","180",,
"829","645","82","160","180",,
"830","646","83","120","120",,
"831","646","18","135","125",,
"832","646","82","115","120",,
"833","647","83","120","120",,
"834","647","18","130","120",,
